Player Name,Bodies Reported,Emergencies Called,Tasks Completed,All Tasks Completed,Sabotages Fixed,Impostor Kills,Times Murdered,Times Ejected,Crewmate Streak,Times Impostor,Times Crewmate,Games Started,Games Finished,Impostor Vote Wins,Impostor Kill Wins,Impostor Sabotage Wins,Crewmate Vote Wins,Crewmate Task Wins,Tasks Completion Rate,Game completion rate,Impostor win rate,Crewmate win rate,Total win rate,Ejection Rate
jd,58,16,364,37,116,71,49,41,0,44,177,221,200,11,16,1,116,1,16.742081447963802,90.49773755656109,63.63636363636363,66.10169491525424,65.61085972850678,18.552036199095024
sagar,35,43,418,47,154,55,59,35,0,31,195,226,210,6,10,1,122,3,20.79646017699115,92.92035398230088,54.83870967741935,64.1025641025641,62.83185840707964,15.486725663716815
ashok,1,1,61,7,9,13,11,11,4,12,25,37,36,2,0,1,18,0,18.91891891891892,97.29729729729729,25.0,72.0,56.75675675675676,29.72972972972973
sannata,22,8,249,21,67,36,45,33,7,28,156,184,172,4,4,0,96,0,11.41304347826087,93.47826086956522,28.571428571428573,61.53846153846154,56.52173913043478,17.934782608695652
vt,9,6,139,13,38,35,25,20,12,31,103,134,120,6,4,1,61,3,9.701492537313433,89.55223880597015,35.483870967741936,62.13592233009709,55.97014925373134,14.925373134328359
seedhe_maut,16,8,212,34,76,49,30,24,2,25,84,109,99,2,9,1,45,2,31.192660550458715,90.8256880733945,48.0,55.95238095238095,54.12844036697248,22.01834862385321
gamerzoner,11,1,1150,14,10,19,29,7,7,18,69,87,84,4,6,3,31,3,16.091954022988507,96.55172413793103,72.22222222222223,49.27536231884058,54.02298850574713,8.045977011494253
larry,46,18,381,44,54,60,73,49,1,44,179,223,208,6,7,2,103,1,19.730941704035875,93.27354260089686,34.09090909090909,58.100558659217874,53.36322869955157,21.973094170403588
don,6,1,47,5,20,16,8,8,5,10,25,35,31,1,3,1,11,0,14.285714285714286,88.57142857142857,50.0,44.0,45.714285714285715,22.857142857142858
situ,14,5,104,8,115,29,28,16,0,18,74,92,85,4,3,0,34,1,8.695652173913043,92.3913043478261,38.888888888888886,47.2972972972973,45.65217391304348,17.391304347826086
bot_ff,21,7,210,30,47,18,38,7,3,19,82,101,79,2,2,6,31,3,29.702970297029704,78.21782178217822,52.63157894736842,41.46341463414634,43.56435643564357,6.930693069306931
